"","gene_name","x","x.name","y","y.name","comparison","hit_annotation"
"73","CHORDC1",-0.51020101894413,"single_ko_vs_wt",-0.0344611409094426,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"74","DHX38",0.379274141874355,"single_ko_vs_wt",-0.0211647609216108,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"75","TUBGCP3",0.357237193125073,"single_ko_vs_wt",-0.40121697375189,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"76","SLC7A1",-0.394833031131402,"single_ko_vs_wt",-0.125720524350953,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"77","ATAD3B",0.385523448831822,"single_ko_vs_wt",0.0668634401301205,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"78","GMDS",-0.528722884632352,"single_ko_vs_wt",-0.183598623750868,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"79","ROBO1",0.375495162637382,"single_ko_vs_wt",0.221908658738272,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"80","BRSK2",-0.534377652551836,"single_ko_vs_wt",0.211616652930839,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"81","B4GAT1",-0.438128955888853,"single_ko_vs_wt",0.168536916997677,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"82","NUP50",-0.339158236610785,"single_ko_vs_wt",0.238370759008088,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"83","CAPN15",-0.509767115371879,"single_ko_vs_wt",-0.00259732354431819,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"84","SLC25A22",-0.371399328464001,"single_ko_vs_wt",-0.0519811618247665,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"85","PAG1",-0.527145837685236,"single_ko_vs_wt",0.307740029722435,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"86","CRYZL1",-0.397278952780805,"single_ko_vs_wt",0.10943827381173,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"87","ILK",-0.404137807911987,"single_ko_vs_wt",-0.264133821197195,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"88","ACAT1",-0.364124111818004,"single_ko_vs_wt",0.0595025909542244,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"89","NMT2",-0.382456279135528,"single_ko_vs_wt",-0.0259166025686994,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"90","NRP1",-0.40726517361653,"single_ko_vs_wt",-0.0385774089138842,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
